ID,nombre,descripcion
53,Pickup,Picks up other Pokémon's used and Flung held items   May also pick up an item after battle 
54,Truant,Skips every second turn 
55,Hustle,Strengthens physical moves to inflict 1 5× damage  but decreases their accuracy to 0 8× 
56,Cute-charm,Has a 30% chance of infatuating attacking Pokémon on contact 
57,Plus,Increases Special Attack to 1 5× when a friendly Pokémon has plus or minus 
58,Minus,Increases Special Attack to 1 5× when a friendly Pokémon has plus or minus 
59,Forecast,Changes castform's type and form to match the weather 
60,Sticky-hold,Prevents a held item from being removed by other Pokémon 
61,Shed-skin,Has a 33% chance of curing any major status ailment after each turn 
62,Guts,Increases Attack to 1 5× with a major status ailment 
63,Marvel-scale,Increases Defense to 1 5× with a major status ailment 
64,Liquid-ooze,Damages opponents using leeching moves for as much as they would heal 
65,Overgrow,Strengthens grass moves to inflict 1 5× damage at 1/3 max HP or less 
66,Blaze,Strengthens fire moves to inflict 1 5× damage at 1/3 max HP or less 
67,Torrent,Strengthens water moves to inflict 1 5× damage at 1/3 max HP or less 
68,Swarm,Strengthens bug moves to inflict 1 5× damage at 1/3 max HP or less 
69,Rock-head,Protects against recoil damage 
70,Drought,Summons strong sunlight that lasts indefinitely upon entering battle 
71,Arena-trap,Prevents opponents from fleeing or switching out   Eluded by flying-types and Pokémon in the air 
72,Vital-spirit,Prevents sleep 
73,White-smoke,Prevents stats from being lowered by other Pokémon 
74,Pure-power,Doubles Attack in battle 
75,Shell-armor,Protects against critical hits 
76,Air-lock,Negates all effects of weather  but does not prevent the weather itself 
77,Tangled-feet,Doubles evasion when confused 
78,Motor-drive,Absorbs electric moves  raising Speed one stage 
79,Rivalry,Increases damage inflicted to 1 25× against Pokémon of the same gender  but decreases damage to 0 75× against the opposite gender 
80,Steadfast,Raises Speed one stage upon flinching 
81,Snow-cloak,Increases evasion to 1 25× during hail   Protects against hail damage 
82,Gluttony,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP 
83,Anger-point,Raises Attack to the maximum of six stages upon receiving a critical hit 
84,Unburden,Doubles Speed upon using or losing a held item 
85,Heatproof,Halves damage from fire moves and burns 
86,Simple,Doubles the Pokémon's stat modifiers   These doubled modifiers are still capped at -6 or 6 stages 
87,Dry-skin,Causes 1/8 max HP in damage each turn during strong sunlight  but heals for 1/8 max HP during rain   Increases damage from fire moves to 1 25×  but absorbs water moves  healing for 1/4 max HP 
88,Download,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle 
89,Iron-fist,Strengthens punch-based moves to 1 2× their power 
90,Poison-heal,Heals for 1/8 max HP after each turn when poisoned in place of damage 
91,Adaptability,Increases the same-type attack bonus from 1 5× to 2× 
92,Skill-link,Extends two-to-five-hit moves and triple kick to their full length every time 
93,Hydration,Cures any major status ailment after each turn during rain 
94,Solar-power,Increases Special Attack to 1 5× but costs 1/8 max HP after each turn during strong sunlight 
95,Quick-feet,Increases Speed to 1 5× with a major status ailment 
96,Normalize,Makes the Pokémon's moves all act normal-type 
97,Sniper,Strengthens critical hits to inflict 3× damage rather than 2× 
98,Magic-guard,Protects against damage not directly caused by a move 
99,No-guard,Ensures all moves used by and against the Pokémon hit 
100,Stall,Makes the Pokémon move last within its move's priority bracket 
101,Technician,Strengthens moves of 60 base power or less to 1 5× their power 
102,Leaf-guard,Protects against major status ailments during strong sunlight 
103,Klutz,Prevents the Pokémon from using its held item in battle 
104,Mold-breaker,Bypasses targets' abilities if they could hinder or prevent a move 
105,Super-luck,Raises moves' critical hit rates one stage 
106,Aftermath,Damages the attacker for 1/4 its max HP when knocked out by a contact move 
107,Anticipation,Notifies all trainers upon entering battle if an opponent has a super-effective move  self destruct  explosion  or a one-hit KO move 
108,Forewarn,Reveals the opponents' strongest move upon entering battle 
109,Unaware,Ignores other Pokémon's stat modifiers for damage and accuracy calculation 
110,Tinted-lens,Doubles damage inflicted with not-very-effective moves 
111,Filter,Decreases damage taken from super-effective moves by 1/4 
112,Slow-start,Halves Attack and Speed for five turns upon entering battle 
113,Scrappy,Lets the Pokémon's normal and fighting moves hit ghost Pokémon 
114,Storm-drain,Redirects single-target water moves to this Pokémon where possible   Absorbs Water moves  raising Special Attack one stage 
115,Ice-body,Heals for 1/16 max HP after each turn during hail   Protects against hail damage 
116,Solid-rock,Decreases damage taken from super-effective moves by 1/4 
117,Snow-warning,Summons hail that lasts indefinitely upon entering battle 
118,Honey-gather,The Pokémon may pick up honey after battle 
119,Frisk,Reveals an opponent's held item upon entering battle 
120,Reckless,Strengthens recoil moves to 1 2× their power 
121,Multitype,Changes arceus's type and form to match its held Plate 
122,Flower-gift,Increases friendly Pokémon's Attack and Special Defense to 1 5× during strong sunlight 
123,Bad-dreams,Damages sleeping opponents for 1/8 their max HP after each turn 
124,Pickpocket,Steals attacking Pokémon's held items on contact 
125,Sheer-force,Strengthens moves with extra effects to 1 3× their power  but prevents their extra effects 
126,Contrary,Inverts stat changes 
127,Unnerve,Prevents opposing Pokémon from eating held Berries 
128,Defiant,Raises Attack two stages upon having any stat lowered 
129,Defeatist,Halves Attack and Special Attack at 50% max HP or less 
130,Cursed-body,Has a 30% chance of Disabling any move that hits the Pokémon 
131,Healer,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn 
132,Friend-guard,Decreases all direct damage taken by friendly Pokémon to 0 75× 
133,Weak-armor,Raises Speed and lowers Defense by one stage each upon being hit by a physical move 
134,Heavy-metal,Doubles the Pokémon's weight 
135,Light-metal,Halves the Pokémon's weight 
136,Multiscale,Halves damage taken from full HP 
137,Toxic-boost,Increases Attack to 1 5× when poisoned 
138,Flare-boost,Increases Special Attack to 1 5× when burned 
139,Harvest,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime 
140,Telepathy,Protects against friendly Pokémon's damaging moves 
141,Moody,Raises a random stat two stages and lowers another one stage after each turn 
142,Overcoat,Protects against damage from weather 
143,Poison-touch,Has a 30% chance of poisoning target Pokémon upon contact 
144,Regenerator,Heals for 1/3 max HP upon switching out 
145,Big-pecks,Protects against Defense drops 
146,Sand-rush,Doubles Speed during a sandstorm   Protects against sandstorm damage 
147,Wonder-skin,Lowers incoming non-damaging moves' base accuracy to exactly 50% 
148,Analytic,Strengthens moves to 1 3× their power when moving last 
149,Illusion,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move 
150,Imposter,Transforms upon entering battle 
151,Infiltrator,Bypasses light screen  reflect  and safeguard 
152,Mummy,Changes attacking Pokémon's abilities to Mummy on contact 
153,Moxie,Raises Attack one stage upon KOing a Pokémon 
154,Justified,Raises Attack one stage upon taking damage from a dark move 
155,Rattled,Raises Speed one stage upon being hit by a dark  ghost  or bug move 
156,Magic-bounce,Reflects most non-damaging moves back at their user 
157,Sap-sipper,Absorbs grass moves  raising Attack one stage 
158,Prankster,Raises non-damaging moves' priority by one stage 
159,Sand-force,Strengthens rock  ground  and steel moves to 1 3× their power during a sandstorm   Protects against sandstorm damage 
160,Iron-barbs,Damages attacking Pokémon for 1/8 their max HP on contact 
161,Zen-mode,Changes darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP  and Standard Mode otherwise 
162,Victory-star,Increases moves' accuracy to 1 1× for friendly Pokémon 
163,Turboblaze,Bypasses targets' abilities if they could hinder or prevent moves 
164,Teravolt,Bypasses targets' abilities if they could hinder or prevent moves 
165,Aroma-veil,Protects allies against moves that affect their mental state 
166,Flower-veil,Protects friendly grass Pokémon from having their stats lowered by other Pokémon 
167,Cheek-pouch,Restores HP upon eating a Berry  in addition to the Berry's effect 
168,Protean,Changes the bearer's type to match each move it uses 
169,Fur-coat,Halves damage from physical attacks 
170,Magician,Steals the target's held item when the bearer uses a damaging move 
171,Bulletproof,Protects against bullet  ball  and bomb-based moves 
172,Competitive,Raises Special Attack by two stages upon having any stat lowered 
173,Strong-jaw,Strengthens biting moves to 1 5× their power 
174,Refrigerate,Turns the bearer's normal moves into ice moves and strengthens them to 1 3× their power 
175,Sweet-veil,Prevents friendly Pokémon from sleeping 
176,Stance-change,Changes aegislash to Blade Forme before using a damaging move  or Shield Forme before using kings shield 
177,Gale-wings,Raises flying moves' priority by one stage 
178,Mega-launcher,Strengthens aura and pulse moves to 1 5× their power 
179,Grass-pelt,Boosts Defense while grassy terrain is in effect 
180,Symbiosis,Passes the bearer's held item to an ally when the ally uses up its item 
181,Tough-claws,Strengthens moves that make contact to 1 33× their power 
182,Pixilate,Turns the bearer's normal moves into fairy moves and strengthens them to 1 3× their power 
183,Gooey,Lowers attacking Pokémon's Speed by one stage on contact 
184,Aerilate,Turns the bearer's normal moves into flying moves and strengthens them to 1 3× their power 
185,Parental-bond,Lets the bearer hit twice with damaging moves   The second hit has half power 
186,Dark-aura,Strengthens dark moves to 1 33× their power for all friendly and opposing Pokémon 
187,Fairy-aura,Strengthens fairy moves to 1 33× their power for all friendly and opposing Pokémon 
188,Aura-break,Makes dark aura and fairy aura weaken moves of their respective types 
189,Primordial-sea,Creates heavy rain  which has all the properties of Rain Dance  cannot be replaced  and causes damaging Fire moves to fail 
190,Desolate-land,Creates extremely harsh sunlight  which has all the properties of Sunny Day  cannot be replaced  and causes damaging Water moves to fail 
191,Delta-stream,Creates a mysterious air current  which cannot be replaced and causes moves to never be super effective against Flying Pokémon 
192,Stamina,Raises this Pokémon's Defense by one stage when it takes damage from a move 
193,Wimp-out,This Pokémon automatically switches out when its HP drops below half 
194,Emergency-exit,This Pokémon automatically switches out when its HP drops below half 
195,Water-compaction,Raises this Pokémon's Defense by two stages when it's hit by a Water move 
196,Merciless,This Pokémon's moves critical hit against poisoned targets 
197,Shields-down,Transforms this Minior between Core Form and Meteor Form   Prevents major status ailments and drowsiness while in Meteor Form 
198,Stakeout,This Pokémon's moves have double power against Pokémon that switched in this turn 
199,Water-bubble,Halves damage from Fire moves  doubles damage of Water moves  and prevents burns 
200,Steelworker,This Pokémon's Steel moves have 1 5× power 
201,Berserk,Raises this Pokémon's Special Attack by one stage every time its HP drops below half 
202,Slush-rush,During Hail  this Pokémon has double Speed 
203,Long-reach,This Pokémon's moves do not make contact 
204,Liquid-voice,Sound-based moves become Water-type 
205,Triage,This Pokémon's healing moves have their priority increased by 3 
206,Galvanize,This Pokémon's Normal moves are Electric and have their power increased to 1 2× 
207,Surge-surfer,Doubles this Pokémon's Speed on Electric Terrain 
208,Schooling,Wishiwashi becomes Schooling Form when its HP is 25% or higher 
209,Disguise,Prevents the first instance of battle damage 
210,Battle-bond,Transforms this Pokémon into Ash-Greninja after fainting an opponent   Water Shuriken's power is 20 and always hits three times 
211,Power-construct,Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50% 
212,Corrosion,This Pokémon can inflict poison on Poison and Steel Pokémon 
213,Comatose,This Pokémon always  acts as though it were Asleep 
214,Queenly-majesty,Opposing Pokémon cannot use priority attacks 
215,Innards-out,When this Pokémon faints from an opponent's move  that opponent takes damage equal to the HP this Pokémon had remaining 
216,Dancer,Whenever another Pokémon uses a dance move  this Pokémon will use the same move immediately afterwards 
217,Battery,Ally Pokémon's moves have their power increased to 1 3× 
218,Fluffy,Damage from contact moves is halved   Damage from Fire moves is doubled 
219,Dazzling,Opposing Pokémon cannot use priority attacks 
220,Soul-heart,This Pokémon's Special Attack rises by one stage every time any Pokémon faints 
221,Tangling-hair,When this Pokémon takes regular damage from a contact move  the attacking Pokémon's Speed lowers by one stage 
222,Receiver,When an ally faints  this Pokémon gains its Ability 
223,Power-of-alchemy,When an ally faints  this Pokémon gains its Ability 
224,Beast-boost,Raises this Pokémon's highest stat by one stage when it faints another Pokémon 
225,Rks-system,Changes this Pokémon's type to match its held Memory 
226,Electric-surge,When this Pokémon enters battle  it changes the terrain to Electric Terrain 
227,Psychic-surge,When this Pokémon enters battle  it changes the terrain to Psychic Terrain 
228,Misty-surge,When this Pokémon enters battle  it changes the terrain to Misty Terrain 
229,Grassy-surge,When this Pokémon enters battle  it changes the terrain to Grassy Terrain 
230,Full-metal-body,Other Pokémon cannot lower this Pokémon's stats 
231,Shadow-shield,When this Pokémon has full HP  regular damage from moves is halved 
232,Prism-armor,Reduces super-effective damage to 0 75× 
233,Neuroforce,Increases super-effective damage dealt to 1 25× 
234,Intrepid-sword,No description available
235,Dauntless-shield,No description available
236,Libero,No description available
237,Ball-fetch,No description available
238,Cotton-down,No description available
239,Propeller-tail,No description available
240,Mirror-armor,No description available
241,Gulp-missile,No description available
242,Stalwart,No description available
243,Steam-engine,No description available
244,Punk-rock,No description available
245,Sand-spit,No description available
246,Ice-scales,No description available
247,Ripen,No description available
248,Ice-face,No description available
249,Power-spot,No description available
250,Mimicry,No description available
251,Screen-cleaner,No description available
252,Steely-spirit,No description available
253,Perish-body,No description available
254,Wandering-spirit,No description available
255,Gorilla-tactics,No description available
256,Neutralizing-gas,No description available
257,Pastel-veil,No description available
258,Hunger-switch,No description available
259,Quick-draw,No description available
260,Unseen-fist,No description available
261,Curious-medicine,No description available
262,Transistor,No description available
263,Dragons-maw,No description available
264,Chilling-neigh,No description available
265,Grim-neigh,No description available
266,As-one-glastrier,No description available
267,As-one-spectrier,No description available
268,Lingering-aroma,No description available
269,Seed-sower,No description available
270,Thermal-exchange,No description available
271,Anger-shell,No description available
272,Purifying-salt,No description available
273,Well-baked-body,No description available
274,Wind-rider,No description available
275,Guard-dog,No description available
276,Rocky-payload,No description available
277,Wind-power,No description available
278,Zero-to-hero,No description available
279,Commander,No description available
280,Electromorphosis,No description available
281,Protosynthesis,No description available
282,Quark-drive,No description available
283,Good-as-gold,No description available
284,Vessel-of-ruin,No description available
285,Sword-of-ruin,No description available
286,Tablets-of-ruin,No description available
287,Beads-of-ruin,No description available
288,Orichalcum-pulse,No description available
289,Hadron-engine,No description available
290,Opportunist,No description available
291,Cud-chew,No description available
292,Sharpness,No description available
293,Supreme-overlord,No description available
294,Costar,No description available
295,Toxic-debris,No description available
296,Armor-tail,No description available
297,Earth-eater,No description available
298,Mycelium-might,No description available
299,Minds-eye,No description available
300,Supersweet-syrup,No description available
301,Hospitality,No description available
302,Toxic-chain,No description available
303,Embody-aspect,No description available
304,Tera-shift,No description available
305,Tera-shell,No description available
306,Teraform-zero,No description available
307,Poison-puppeteer,No description available
10001,Mountaineer,No description available
10002,Wave-rider,No description available
10003,Skater,No description available
10004,Thrust,No description available
10005,Perception,No description available
10006,Parry,No description available
10007,Instinct,No description available
10008,Dodge,No description available
10009,Jagged-edge,No description available
10010,Frostbite,No description available
10011,Tenacity,No description available
10012,Pride,No description available
10013,Deep-sleep,No description available
10014,Power-nap,No description available
10015,Spirit,No description available
10016,Warm-blanket,No description available
10017,Gulp,No description available
10018,Herbivore,No description available
10019,Sandpit,No description available
10020,Hot-blooded,No description available
10021,Medic,No description available
10022,Life-force,No description available
10023,Lunchbox,No description available
10024,Nurse,No description available
10025,Melee,No description available
10026,Sponge,No description available
10027,Bodyguard,No description available
10028,Hero,No description available
10029,Last-bastion,No description available
10030,Stealth,No description available
10031,Vanguard,No description available
10032,Nomad,No description available
10033,Sequence,No description available
10034,Grass-cloak,No description available
10035,Celebrate,No description available
10036,Lullaby,No description available
10037,Calming,No description available
10038,Daze,No description available
10039,Frighten,No description available
10040,Interference,No description available
10041,Mood-maker,No description available
10042,Confidence,No description available
10043,Fortune,No description available
10044,Bonanza,No description available
10045,Explode,No description available
10046,Omnipotent,No description available
10047,Share,No description available
10048,Black-hole,No description available
10049,Shadow-dash,No description available
10050,Sprint,No description available
10051,Disgust,No description available
10052,High-rise,No description available
10053,Climber,No description available
10054,Flame-boost,No description available
10055,Aqua-boost,No description available
10056,Run-up,No description available
10057,Conqueror,No description available
10058,Shackle,No description available
10059,Decoy,No description available
10060,Shield,No description available
